"ProjectState","ApprovalFiscalYear","mn_hpi"
"TN",2011,280.3875
"TN",2012,280.3325
"TN",2013,285.475
"TN",2014,297.35
"TN",2015,313.1675
"TN",2016,330.006666666667
"TX",1990,117.135
"TX",1991,119.765
"TX",1992,123.945
"TX",1993,127.5525
"TX",1994,130.305
"TX",1995,132.775
"TX",1996,136.28
"TX",1997,139.2825
"TX",1998,145.9825
"TX",1999,153.88
"TX",2000,163.255
"TX",2001,174.12
"TX",2002,180.29
"TX",2003,185.8275
"TX",2004,190.8475
"TX",2005,199.24
"TX",2006,210.4875
"TX",2007,221.3275
"TX",2008,225.4925
"TX",2009,225.8475
"TX",2010,222.975
"TX",2011,219.9375
"TX",2012,223.3625
"TX",2013,233.5425
"TX",2014,250.99
"TX",2015,270.7825
"TX",2016,289.06
"UT",1990,118.33
"UT",1991,125.22
"UT",1992,133.365
"UT",1993,147.9475
"UT",1994,172.5825
"UT",1995,192.8975
"UT",1996,209.6
"UT",1997,222.355
"UT",1998,233.7125
"UT",1999,236.4875
